country,state,county,type,measure,beds,population,year
US,NY,albany,ACUTE,1HAB,0.004345712,308580,2018
US,NY,albany,ICU,1HAB,0.000388878,308580,2019
US,NY,albany,OTHER,1HAB,0.00012962599999999998,308580,2018
US,NY,allegany,ACUTE,1HAB,0.0014767930000000001,47400,2018
US,NY,allegany,ICU,1HAB,0.000126582,47400,2019
US,NY,bronx,ACUTE,1HAB,0.0024707279999999997,1455846,2018
US,NY,bronx,ICU,1HAB,0.00018546,1455846,2019
US,NY,bronx,OTHER,1HAB,0.000154549,1455846,2018
US,NY,broome,ACUTE,1HAB,0.0037833199999999997,196124,2018
US,NY,broome,ICU,1HAB,0.00023964399999999998,196124,2019
US,NY,cattaraugus,ACUTE,1HAB,0.002379278,78175,2018
US,NY,cattaraugus,ICU,1HAB,0.0,78175,2019
US,NY,cattaraugus,PSYCHIATRIC,1HAB,0.000793092,78175,2018
US,NY,cayuga,ACUTE,1HAB,0.0012640610000000001,78319,2018
US,NY,cayuga,ICU,1HAB,0.000178756,78319,2019
US,NY,chautauqua,ACUTE,1HAB,0.002743683,130846,2018
US,NY,chautauqua,ICU,1HAB,0.000198706,130846,2019
US,NY,chautauqua,PSYCHIATRIC,1HAB,0.000305703,130846,2018
US,NY,chemung,ACUTE,1HAB,0.004500305,86883,2018
US,NY,chemung,ICU,1HAB,0.000230196,86883,2019
US,NY,chenango,ACUTE,1HAB,0.0011894260000000002,48763,2018
US,NY,chenango,ICU,1HAB,0.000143551,48763,2019
US,NY,clinton,ACUTE,1HAB,0.0036934900000000002,81224,2018
US,NY,clinton,ICU,1HAB,0.000258544,81224,2019
US,NY,columbia,ACUTE,1HAB,0.003122916,61481,2018
US,NY,columbia,ICU,1HAB,0.000146387,61481,2019
US,NY,cortland,ACUTE,1HAB,0.0033516780000000003,48334,2018
US,NY,cortland,ICU,1HAB,0.000248272,48334,2019
US,NY,delaware,ACUTE,1HAB,8.7051e-05,45950,2018
US,NY,delaware,ICU,1HAB,0.001371055,45950,2018
US,NY,dutchess,ACUTE,1HAB,0.002286217,295685,2018
US,NY,dutchess,ICU,1HAB,0.000172481,295685,2019
US,NY,erie,ACUTE,1HAB,0.0027056420000000003,923995,2018
US,NY,erie,ICU,1HAB,0.000283551,923995,2019
US,NY,erie,OTHER,1HAB,0.000216452,923995,2018
US,NY,erie,PSYCHIATRIC,1HAB,9.5239e-05,923995,2018
US,NY,essex,ICU,1HAB,0.001046217,38233,2018
US,NY,franklin,ACUTE,1HAB,0.003388568,51054,2018
US,NY,franklin,ICU,1HAB,0.000254632,51054,2019
US,NY,fulton,ACUTE,1HAB,0.001371512,53955,2018
US,NY,fulton,ICU,1HAB,0.000148272,53955,2019
US,NY,genesee,ACUTE,1HAB,0.002237901,58537,2018
US,NY,genesee,ICU,1HAB,0.00017083200000000002,58537,2019
US,NY,greene,ICU,1HAB,0.0,47791,2019
US,NY,hamilton,ICU,1HAB,0.0,4646,2019
US,NY,herkimer,ICU,1HAB,0.000397186,62943,2018
US,NY,jefferson,ACUTE,1HAB,0.0025221550000000003,116567,2018
US,NY,jefferson,ICU,1HAB,0.00042893799999999996,116567,2018
US,NY,kings,ACUTE,1HAB,0.002339931,2635121,2018
US,NY,kings,ICU,1HAB,0.000120678,2635121,2019
US,NY,lewis,ICU,1HAB,0.0011547769999999998,26845,2018
US,NY,livingston,ACUTE,1HAB,0.00104081,64373,2018
US,NY,livingston,ICU,1HAB,0.0,64373,2019
US,NY,madison,ACUTE,1HAB,0.0014074690000000002,71760,2018
US,NY,madison,ICU,1HAB,0.00034838400000000003,71760,2018
US,NY,monroe,ACUTE,1HAB,0.00257787,748680,2018
US,NY,monroe,ICU,1HAB,0.000255116,748680,2019
US,NY,monroe,OTHER,1HAB,5.2092e-05,748680,2018
US,NY,monroe,PSYCHIATRIC,1HAB,5.3427e-05,748680,2018
US,NY,montgomery,ACUTE,1HAB,0.0026262629999999998,49500,2018
US,NY,montgomery,ICU,1HAB,0.000161616,49500,2019
US,NY,nassau,ACUTE,1HAB,0.003186192,1363069,2018
US,NY,nassau,ICU,1HAB,0.000338206,1363069,2019
US,NY,new york,ACUTE,1HAB,0.005741660000000001,1653877,2018
US,NY,new york,ICU,1HAB,0.000460131,1653877,2019
US,NY,new york,OTHER,1HAB,0.000845891,1653877,2018
US,NY,new york,PSYCHIATRIC,1HAB,9.4928e-05,1653877,2018
US,NY,niagara,ACUTE,1HAB,0.002929352,212675,2018
US,NY,niagara,ICU,1HAB,0.00015046399999999997,212675,2019
US,NY,oneida,ACUTE,1HAB,0.003017338,232324,2018
US,NY,oneida,ICU,1HAB,0.000219521,232324,2019
US,NY,oneida,OTHER,1HAB,0.00010330400000000001,232324,2018
US,NY,onondaga,ACUTE,1HAB,0.0034896479999999997,467669,2018
US,NY,onondaga,ICU,1HAB,0.000325016,467669,2019
US,NY,onondaga,OTHER,1HAB,8.552999999999999e-05,467669,2018
US,NY,ontario,ACUTE,1HAB,0.0036441340000000003,109491,2018
US,NY,ontario,ICU,1HAB,0.000246596,109491,2019
US,NY,orange,ACUTE,1HAB,0.002385145,378174,2018
US,NY,orange,ICU,1HAB,0.000200966,378174,2019
US,NY,orleans,ICU,1HAB,0.0009378609999999999,41584,2018
US,NY,oswego,ACUTE,1HAB,0.001051463,119833,2018
US,NY,oswego,ICU,1HAB,6.676e-05,119833,2019
US,NY,oswego,PSYCHIATRIC,1HAB,0.000267038,119833,2018
US,NY,otsego,ACUTE,1HAB,0.003950617,60750,2018
US,NY,otsego,ICU,1HAB,0.000230452,60750,2019
US,NY,putnam,ACUTE,1HAB,0.0016488380000000001,99464,2018
US,NY,putnam,ICU,1HAB,0.00010054000000000001,99464,2019
US,NY,queens,ACUTE,1HAB,0.001596218,2339280,2018
US,NY,queens,ICU,1HAB,5.5145e-05,2339280,2019
US,NY,rensselaer,ACUTE,1HAB,0.002553191,159800,2018
US,NY,rensselaer,ICU,1HAB,7.5094e-05,159800,2019
US,NY,rensselaer,OTHER,1HAB,9.3867e-05,159800,2018
US,NY,richmond,ACUTE,1HAB,0.002441443,475948,2018
US,NY,richmond,ICU,1HAB,0.00023952200000000002,475948,2019
US,NY,richmond,PSYCHIATRIC,1HAB,5.2527e-05,475948,2018
US,NY,rockland,ACUTE,1HAB,0.002033676,325027,2018
US,NY,rockland,ICU,1HAB,0.00011999,325027,2019
US,NY,rockland,OTHER,1HAB,0.001562947,325027,2018
US,NY,saratoga,ACUTE,1HAB,0.000754527,226632,2018
US,NY,saratoga,ICU,1HAB,8.383599999999999e-05,226632,2019
US,NY,saratoga,PSYCHIATRIC,1HAB,0.000388296,226632,2018
US,NY,schenectady,ACUTE,1HAB,0.0023705379999999997,155239,2018
US,NY,schenectady,ICU,1HAB,0.0002319,155239,2019
US,NY,schenectady,OTHER,1HAB,0.001095086,155239,2018
US,NY,schoharie,ACUTE,1HAB,0.001265382,31611,2018
US,NY,schoharie,ICU,1HAB,0.0,31611,2019
US,NY,schuyler,ICU,1HAB,0.0013803,18112,2018
US,NY,seneca,ICU,1HAB,0.0,34843,2019
US,NY,st. lawrence,ACUTE,1HAB,0.002472545,110817,2018
US,NY,st. lawrence,ICU,1HAB,0.00040607500000000004,110817,2018
US,NY,steuben,ACUTE,1HAB,0.002193994,97539,2018
US,NY,steuben,ICU,1HAB,8.2018e-05,97539,2019
US,NY,suffolk,ACUTE,1HAB,0.002154788,1497595,2018
US,NY,suffolk,ICU,1HAB,0.000187634,1497595,2019
US,NY,suffolk,PSYCHIATRIC,1HAB,0.000237714,1497595,2018
US,NY,sullivan,ACUTE,1HAB,0.0020321180000000003,75783,2018
US,NY,sullivan,ICU,1HAB,0.000197934,75783,2018
US,NY,tioga,ICU,1HAB,0.0,49322,2019
US,NY,tompkins,ACUTE,1HAB,0.00203036,104415,2018
US,NY,tompkins,ICU,1HAB,0.000153236,104415,2019
US,NY,ulster,ACUTE,1HAB,0.001665473,180129,2018
US,NY,ulster,ICU,1HAB,0.000138789,180129,2019
US,NY,warren,ACUTE,1HAB,0.006336842,64701,2018
US,NY,warren,ICU,1HAB,0.00037093799999999996,64701,2019
US,NY,washington,ICU,1HAB,0.0,62183,2019
US,NY,wayne,ACUTE,1HAB,0.001312307,91442,2018
US,NY,wayne,ICU,1HAB,8.7487e-05,91442,2019
US,NY,westchester,ACUTE,1HAB,0.002329489,975321,2018
US,NY,westchester,ICU,1HAB,0.000183528,975321,2019
US,NY,westchester,OTHER,1HAB,0.000241972,975321,2018
US,NY,westchester,PSYCHIATRIC,1HAB,0.000745396,975321,2018
US,NY,wyoming,ACUTE,1HAB,0.001516411,40886,2018
US,NY,wyoming,ICU,1HAB,0.00012229099999999999,40886,2019
US,NY,yates,ICU,1HAB,0.000996691,25083,2018
